name,price
"APPLE iPhone 13 (Midnight, 256 GB)","₹85,199"
"APPLE iPhone 11 (White, 128 GB)","₹54,900"
"APPLE iPhone 13 Pro (Sierra Blue, 256 GB)","₹1,29,900"
"APPLE iPhone 12 Mini (White, 64 GB)","₹50,298"
"APPLE iPhone 12 Mini (Blue, 64 GB)","₹50,298"
"APPLE iPhone 13 (Starlight, 256 GB)","₹85,199"
"APPLE iPhone 11 (Red, 128 GB)","₹54,900"
"APPLE iPhone XR (White, 128 GB)","₹45,298"
"APPLE iPhone 13 (Blue, 256 GB)","₹85,199"
"APPLE iPhone 12 (Blue, 64 GB)","₹60,298"
"APPLE iPhone SE (Red, 64 GB)","₹30,298"
"APPLE iPhone SE (Black, 64 GB)","₹30,298"
"APPLE iPhone SE (White, 64 GB)","₹30,298"
"APPLE iPhone SE (Red, 128 GB)","₹35,298"
"APPLE iPhone SE (White, 128 GB)","₹35,298"
"APPLE iPhone SE (Black, 128 GB)","₹35,298"
"APPLE iPhone 12 Mini (Black, 64 GB)","₹50,298"
"APPLE iPhone 11 (Green, 64 GB)","₹49,900"
"APPLE iPhone 12 (Black, 64 GB)","₹60,298"
"APPLE iPhone 11 (Purple, 128 GB)","₹54,900"
"APPLE iPhone 11 (Green, 128 GB)","₹54,900"
"APPLE iPhone 12 Mini (Green, 128 GB)","₹55,298"
"APPLE iPhone 11 (Black, 128 GB)","₹54,900"
"APPLE iPhone SE (White, 256 GB)","₹45,298"
"APPLE iPhone 13 (Midnight, 256 GB)","₹85,199"
"APPLE iPhone 11 (White, 128 GB)","₹54,900"
"APPLE iPhone 13 Pro (Sierra Blue, 256 GB)","₹1,29,900"
"APPLE iPhone 12 Mini (White, 64 GB)","₹50,298"
"APPLE iPhone 12 Mini (Blue, 64 GB)","₹50,298"
"APPLE iPhone 13 (Starlight, 256 GB)","₹85,199"
"APPLE iPhone 11 (Red, 128 GB)","₹54,900"
"APPLE iPhone XR (White, 128 GB)","₹45,298"
"APPLE iPhone 13 (Blue, 256 GB)","₹85,199"
"APPLE iPhone 12 (Blue, 64 GB)","₹60,298"
"APPLE iPhone SE (Red, 64 GB)","₹30,298"
"APPLE iPhone SE (Black, 64 GB)","₹30,298"
"APPLE iPhone SE (White, 64 GB)","₹30,298"
"APPLE iPhone SE (Red, 128 GB)","₹35,298"
"APPLE iPhone SE (White, 128 GB)","₹35,298"
"APPLE iPhone SE (Black, 128 GB)","₹35,298"
"APPLE iPhone 12 Mini (Black, 64 GB)","₹50,298"
"APPLE iPhone 11 (Green, 64 GB)","₹49,900"
"APPLE iPhone 12 (Black, 64 GB)","₹60,298"
"APPLE iPhone 11 (Purple, 128 GB)","₹54,900"
"APPLE iPhone 11 (Green, 128 GB)","₹54,900"
"APPLE iPhone 12 Mini (Green, 128 GB)","₹55,298"
"APPLE iPhone 11 (Black, 128 GB)","₹54,900"
"APPLE iPhone SE (White, 256 GB)","₹45,298"
"APPLE iPhone 13 (Midnight, 256 GB)","₹85,199"
"APPLE iPhone 11 (White, 128 GB)","₹54,900"
"APPLE iPhone 13 Pro (Sierra Blue, 256 GB)","₹1,29,900"
"APPLE iPhone 12 Mini (White, 64 GB)","₹50,298"
"APPLE iPhone 12 Mini (Blue, 64 GB)","₹50,298"
"APPLE iPhone 13 (Starlight, 256 GB)","₹85,199"
"APPLE iPhone 11 (Red, 128 GB)","₹54,900"
"APPLE iPhone XR (White, 128 GB)","₹45,298"
"APPLE iPhone 13 (Blue, 256 GB)","₹85,199"
"APPLE iPhone 12 (Blue, 64 GB)","₹60,298"
"APPLE iPhone SE (Red, 64 GB)","₹30,298"
"APPLE iPhone SE (Black, 64 GB)","₹30,298"
"APPLE iPhone SE (White, 64 GB)","₹30,298"
"APPLE iPhone SE (Red, 128 GB)","₹35,298"
"APPLE iPhone SE (White, 128 GB)","₹35,298"
"APPLE iPhone SE (Black, 128 GB)","₹35,298"
"APPLE iPhone 12 Mini (Black, 64 GB)","₹50,298"
"APPLE iPhone 11 (Green, 64 GB)","₹49,900"
"APPLE iPhone 12 (Black, 64 GB)","₹60,298"
"APPLE iPhone 11 (Purple, 128 GB)","₹54,900"
"APPLE iPhone 11 (Green, 128 GB)","₹54,900"
"APPLE iPhone 12 Mini (Green, 128 GB)","₹55,298"
"APPLE iPhone 11 (Black, 128 GB)","₹54,900"
"APPLE iPhone SE (White, 256 GB)","₹45,298"
"APPLE iPhone 13 (Midnight, 256 GB)","₹85,199"
"APPLE iPhone 11 (White, 128 GB)","₹54,900"
"APPLE iPhone 13 Pro (Sierra Blue, 256 GB)","₹1,29,900"
"APPLE iPhone 12 Mini (White, 64 GB)","₹50,298"
"APPLE iPhone 12 Mini (Blue, 64 GB)","₹50,298"
"APPLE iPhone 13 (Starlight, 256 GB)","₹85,199"
"APPLE iPhone 11 (Red, 128 GB)","₹54,900"
"APPLE iPhone XR (White, 128 GB)","₹45,298"
"APPLE iPhone 13 (Blue, 256 GB)","₹85,199"
"APPLE iPhone 12 (Blue, 64 GB)","₹60,298"
"APPLE iPhone SE (Red, 64 GB)","₹30,298"
"APPLE iPhone SE (Black, 64 GB)","₹30,298"
"APPLE iPhone SE (White, 64 GB)","₹30,298"
"APPLE iPhone SE (Red, 128 GB)","₹35,298"
"APPLE iPhone SE (White, 128 GB)","₹35,298"
"APPLE iPhone SE (Black, 128 GB)","₹35,298"
"APPLE iPhone 12 Mini (Black, 64 GB)","₹50,298"
"APPLE iPhone 11 (Green, 64 GB)","₹49,900"
"APPLE iPhone 12 (Black, 64 GB)","₹60,298"
"APPLE iPhone 11 (Purple, 128 GB)","₹54,900"
"APPLE iPhone 11 (Green, 128 GB)","₹54,900"
"APPLE iPhone 12 Mini (Green, 128 GB)","₹55,298"
"APPLE iPhone 11 (Black, 128 GB)","₹54,900"
"APPLE iPhone SE (White, 256 GB)","₹45,298"
"APPLE iPhone 13 (Midnight, 256 GB)","₹85,199"
"APPLE iPhone 11 (White, 128 GB)","₹54,900"
"APPLE iPhone 13 Pro (Sierra Blue, 256 GB)","₹1,29,900"
"APPLE iPhone 12 Mini (White, 64 GB)","₹50,298"
"APPLE iPhone 12 Mini (Blue, 64 GB)","₹50,298"
"APPLE iPhone 13 (Starlight, 256 GB)","₹85,199"
"APPLE iPhone 11 (Red, 128 GB)","₹54,900"
"APPLE iPhone XR (White, 128 GB)","₹45,298"
"APPLE iPhone 13 (Blue, 256 GB)","₹85,199"
"APPLE iPhone 12 (Blue, 64 GB)","₹60,298"
"APPLE iPhone SE (Red, 64 GB)","₹30,298"
"APPLE iPhone SE (Black, 64 GB)","₹30,298"
"APPLE iPhone SE (White, 64 GB)","₹30,298"
"APPLE iPhone SE (Red, 128 GB)","₹35,298"
"APPLE iPhone SE (White, 128 GB)","₹35,298"
"APPLE iPhone SE (Black, 128 GB)","₹35,298"
"APPLE iPhone 12 Mini (Black, 64 GB)","₹50,298"
"APPLE iPhone 11 (Green, 64 GB)","₹49,900"
"APPLE iPhone 12 (Black, 64 GB)","₹60,298"
"APPLE iPhone 11 (Purple, 128 GB)","₹54,900"
"APPLE iPhone 11 (Green, 128 GB)","₹54,900"
"APPLE iPhone 12 Mini (Green, 128 GB)","₹55,298"
"APPLE iPhone 11 (Black, 128 GB)","₹54,900"
"APPLE iPhone SE (White, 256 GB)","₹45,298"
"APPLE iPhone 13 (Midnight, 256 GB)","₹85,199"
"APPLE iPhone 11 (White, 128 GB)","₹54,900"
"APPLE iPhone 13 Pro (Sierra Blue, 256 GB)","₹1,29,900"
"APPLE iPhone 12 Mini (White, 64 GB)","₹50,298"
"APPLE iPhone 12 Mini (Blue, 64 GB)","₹50,298"
"APPLE iPhone 13 (Starlight, 256 GB)","₹85,199"
"APPLE iPhone 11 (Red, 128 GB)","₹54,900"
"APPLE iPhone XR (White, 128 GB)","₹45,298"
"APPLE iPhone 13 (Blue, 256 GB)","₹85,199"
"APPLE iPhone 12 (Blue, 64 GB)","₹60,298"
"APPLE iPhone SE (Red, 64 GB)","₹30,298"
"APPLE iPhone SE (Black, 64 GB)","₹30,298"
"APPLE iPhone SE (White, 64 GB)","₹30,298"
"APPLE iPhone SE (Red, 128 GB)","₹35,298"
"APPLE iPhone SE (White, 128 GB)","₹35,298"
"APPLE iPhone SE (Black, 128 GB)","₹35,298"
"APPLE iPhone 12 Mini (Black, 64 GB)","₹50,298"
"APPLE iPhone 11 (Green, 64 GB)","₹49,900"
"APPLE iPhone 12 (Black, 64 GB)","₹60,298"
"APPLE iPhone 11 (Purple, 128 GB)","₹54,900"
"APPLE iPhone 11 (Green, 128 GB)","₹54,900"
"APPLE iPhone 12 Mini (Green, 128 GB)","₹55,298"
"APPLE iPhone 11 (Black, 128 GB)","₹54,900"
"APPLE iPhone SE (White, 256 GB)","₹45,298"
"APPLE iPhone 13 (Midnight, 256 GB)","₹85,199"
"APPLE iPhone 11 (White, 128 GB)","₹54,900"
"APPLE iPhone 13 Pro (Sierra Blue, 256 GB)","₹1,29,900"
"APPLE iPhone 12 Mini (White, 64 GB)","₹50,298"
"APPLE iPhone 12 Mini (Blue, 64 GB)","₹50,298"
"APPLE iPhone 13 (Starlight, 256 GB)","₹85,199"
"APPLE iPhone 11 (Red, 128 GB)","₹54,900"
"APPLE iPhone XR (White, 128 GB)","₹45,298"
"APPLE iPhone 13 (Blue, 256 GB)","₹85,199"
"APPLE iPhone 12 (Blue, 64 GB)","₹60,298"
"APPLE iPhone SE (Red, 64 GB)","₹30,298"
"APPLE iPhone SE (Black, 64 GB)","₹30,298"
"APPLE iPhone SE (White, 64 GB)","₹30,298"
"APPLE iPhone SE (Red, 128 GB)","₹35,298"
"APPLE iPhone SE (White, 128 GB)","₹35,298"
"APPLE iPhone SE (Black, 128 GB)","₹35,298"
"APPLE iPhone 12 Mini (Black, 64 GB)","₹50,298"
"APPLE iPhone 11 (Green, 64 GB)","₹49,900"
"APPLE iPhone 12 (Black, 64 GB)","₹60,298"
"APPLE iPhone 11 (Purple, 128 GB)","₹54,900"
"APPLE iPhone 11 (Green, 128 GB)","₹54,900"
"APPLE iPhone 12 Mini (Green, 128 GB)","₹55,298"
"APPLE iPhone 11 (Black, 128 GB)","₹54,900"
"APPLE iPhone SE (White, 256 GB)","₹45,298"
"APPLE iPhone 13 (Midnight, 256 GB)","₹85,199"
"APPLE iPhone 11 (White, 128 GB)","₹54,900"
"APPLE iPhone 13 Pro (Sierra Blue, 256 GB)","₹1,29,900"
"APPLE iPhone 12 Mini (White, 64 GB)","₹50,298"
"APPLE iPhone 12 Mini (Blue, 64 GB)","₹50,298"
"APPLE iPhone 13 (Starlight, 256 GB)","₹85,199"
"APPLE iPhone 11 (Red, 128 GB)","₹54,900"
"APPLE iPhone XR (White, 128 GB)","₹45,298"
"APPLE iPhone 13 (Blue, 256 GB)","₹85,199"
"APPLE iPhone 12 (Blue, 64 GB)","₹60,298"
