name,price
"APPLE iPhone 12 Mini (Purple, 64 GB)","₹49,999"
"APPLE iPhone 12 Mini (Blue, 64 GB)","₹49,999"
"APPLE iPhone XR (White, 128 GB)","₹44,999"
"APPLE iPhone 11 (Green, 128 GB)","₹54,900"
"APPLE iPhone 11 (Purple, 128 GB)","₹54,900"
"APPLE iPhone 11 (Black, 128 GB)","₹54,900"
"APPLE iPhone 11 (Red, 128 GB)","₹54,900"
"APPLE iPhone 12 Mini (White, 64 GB)","₹49,999"
"APPLE iPhone 12 (White, 128 GB)","₹64,999"
"APPLE iPhone 11 (Purple, 64 GB)","₹49,900"
"APPLE iPhone SE (Black, 64 GB)","₹29,999"
"APPLE iPhone SE (Red, 64 GB)","₹29,999"
"APPLE iPhone SE (White, 64 GB)","₹29,999"
"APPLE iPhone SE (Red, 128 GB)","₹34,999"
"APPLE iPhone 11 (Green, 64 GB)","₹49,900"
"APPLE iPhone SE (Black, 128 GB)","₹34,999"
"APPLE iPhone SE (White, 128 GB)","₹34,999"
"APPLE iPhone 12 Mini (Black, 64 GB)","₹49,999"
"APPLE iPhone 13 (Starlight, 128 GB)","₹74,900"
"APPLE iPhone 13 ((PRODUCT)RED, 128 GB)","₹74,900"
"APPLE iPhone 13 (Blue, 128 GB)","₹74,900"
"APPLE iPhone 11 (White, 128 GB)","₹54,900"
"APPLE iPhone 13 (Midnight, 256 GB)","₹84,900"
"APPLE iPhone 11 (White, 64 GB)","₹49,900"
"APPLE iPhone 12 Mini (Purple, 64 GB)","₹49,999"
"APPLE iPhone 12 Mini (Blue, 64 GB)","₹49,999"
"APPLE iPhone XR (White, 128 GB)","₹44,999"
"APPLE iPhone 11 (Green, 128 GB)","₹54,900"
"APPLE iPhone 11 (Purple, 128 GB)","₹54,900"
"APPLE iPhone 11 (Black, 128 GB)","₹54,900"
"APPLE iPhone 11 (Red, 128 GB)","₹54,900"
"APPLE iPhone 12 Mini (White, 64 GB)","₹49,999"
"APPLE iPhone 12 (White, 128 GB)","₹64,999"
"APPLE iPhone 11 (Purple, 64 GB)","₹49,900"
"APPLE iPhone SE (Black, 64 GB)","₹29,999"
"APPLE iPhone SE (Red, 64 GB)","₹29,999"
"APPLE iPhone SE (White, 64 GB)","₹29,999"
"APPLE iPhone SE (Red, 128 GB)","₹34,999"
"APPLE iPhone 11 (Green, 64 GB)","₹49,900"
"APPLE iPhone SE (Black, 128 GB)","₹34,999"
"APPLE iPhone SE (White, 128 GB)","₹34,999"
"APPLE iPhone 12 Mini (Black, 64 GB)","₹49,999"
"APPLE iPhone 13 (Starlight, 128 GB)","₹74,900"
"APPLE iPhone 13 ((PRODUCT)RED, 128 GB)","₹74,900"
"APPLE iPhone 13 (Blue, 128 GB)","₹74,900"
"APPLE iPhone 11 (White, 128 GB)","₹54,900"
"APPLE iPhone 13 (Midnight, 256 GB)","₹84,900"
"APPLE iPhone 11 (White, 64 GB)","₹49,900"
"APPLE iPhone 12 Mini (Purple, 64 GB)","₹49,999"
"APPLE iPhone 12 Mini (Blue, 64 GB)","₹49,999"
"APPLE iPhone XR (White, 128 GB)","₹44,999"
"APPLE iPhone 11 (Green, 128 GB)","₹54,900"
"APPLE iPhone 11 (Purple, 128 GB)","₹54,900"
"APPLE iPhone 11 (Black, 128 GB)","₹54,900"
"APPLE iPhone 11 (Red, 128 GB)","₹54,900"
"APPLE iPhone 12 Mini (White, 64 GB)","₹49,999"
"APPLE iPhone 12 (White, 128 GB)","₹64,999"
"APPLE iPhone 11 (Purple, 64 GB)","₹49,900"
"APPLE iPhone SE (Black, 64 GB)","₹29,999"
"APPLE iPhone SE (Red, 64 GB)","₹29,999"
"APPLE iPhone SE (White, 64 GB)","₹29,999"
"APPLE iPhone SE (Red, 128 GB)","₹34,999"
"APPLE iPhone 11 (Green, 64 GB)","₹49,900"
"APPLE iPhone SE (Black, 128 GB)","₹34,999"
"APPLE iPhone SE (White, 128 GB)","₹34,999"
"APPLE iPhone 12 Mini (Black, 64 GB)","₹49,999"
"APPLE iPhone 13 (Starlight, 128 GB)","₹74,900"
"APPLE iPhone 13 ((PRODUCT)RED, 128 GB)","₹74,900"
"APPLE iPhone 13 (Blue, 128 GB)","₹74,900"
"APPLE iPhone 11 (White, 128 GB)","₹54,900"
"APPLE iPhone 13 (Midnight, 256 GB)","₹84,900"
"APPLE iPhone 11 (White, 64 GB)","₹49,900"
"APPLE iPhone 12 Mini (Purple, 64 GB)","₹49,999"
"APPLE iPhone 12 Mini (Blue, 64 GB)","₹49,999"
"APPLE iPhone XR (White, 128 GB)","₹44,999"
"APPLE iPhone 11 (Green, 128 GB)","₹54,900"
"APPLE iPhone 11 (Purple, 128 GB)","₹54,900"
"APPLE iPhone 11 (Black, 128 GB)","₹54,900"
"APPLE iPhone 11 (Red, 128 GB)","₹54,900"
"APPLE iPhone 12 Mini (White, 64 GB)","₹49,999"
"APPLE iPhone 12 (White, 128 GB)","₹64,999"
"APPLE iPhone 11 (Purple, 64 GB)","₹49,900"
"APPLE iPhone SE (Black, 64 GB)","₹29,999"
"APPLE iPhone SE (Red, 64 GB)","₹29,999"
"APPLE iPhone SE (White, 64 GB)","₹29,999"
"APPLE iPhone SE (Red, 128 GB)","₹34,999"
"APPLE iPhone 11 (Green, 64 GB)","₹49,900"
"APPLE iPhone SE (Black, 128 GB)","₹34,999"
"APPLE iPhone SE (White, 128 GB)","₹34,999"
"APPLE iPhone 12 Mini (Black, 64 GB)","₹49,999"
"APPLE iPhone 13 (Starlight, 128 GB)","₹74,900"
"APPLE iPhone 13 ((PRODUCT)RED, 128 GB)","₹74,900"
"APPLE iPhone 13 (Blue, 128 GB)","₹74,900"
"APPLE iPhone 11 (White, 128 GB)","₹54,900"
"APPLE iPhone 13 (Midnight, 256 GB)","₹84,900"
"APPLE iPhone 11 (White, 64 GB)","₹49,900"
"APPLE iPhone 12 Mini (Purple, 64 GB)","₹49,999"
"APPLE iPhone 12 Mini (Blue, 64 GB)","₹49,999"
"APPLE iPhone XR (White, 128 GB)","₹44,999"
"APPLE iPhone 11 (Green, 128 GB)","₹54,900"
"APPLE iPhone 11 (Purple, 128 GB)","₹54,900"
"APPLE iPhone 11 (Black, 128 GB)","₹54,900"
"APPLE iPhone 11 (Red, 128 GB)","₹54,900"
"APPLE iPhone 12 Mini (White, 64 GB)","₹49,999"
"APPLE iPhone 12 (White, 128 GB)","₹64,999"
"APPLE iPhone 11 (Purple, 64 GB)","₹49,900"
